date,yyyymmdd,state, admissions, current_num_in_hospital, general, high_care, ICU, isolation, total_healthcare_workers_admitted, num_discharged_alive, hospital_deaths
24-05-2020,20200524,AL,3046,991,715,94,151,31,165,1615,389
25-05-2020,20200525,AZ,3216,1086,805,100,146,35,156,1669,409
26-05-2020,20200526,DE,3439,1139,848,96,151,44,164,1800,447
27-05-2020,20200527,DC,3802,1364,1042,119,162,41,180,1910,472
28-05-2020,20200528,FL,4145,1581,1218,119,198,46,187,2011,497
29-05-2020,20200529,DC,4090,1395,1046,117,188,44,182,2118,519
30-05-2020,20200530,FL,4361,1458,1098,115,205,40,187,2285,559
31-05-2020,20200531,DC,4546,1555,1204,108,203,40,188,2346,587
1/6/2020,20200601,AL,4718,1607,1255,101,208,43,189,2441,608
2/6/2020,20200602,AL,4927,1659,1283,115,217,44,193,2562,643
3/6/2020,20200603,AZ,5078,1638,1258,114,219,47,195,2713,663
4/6/2020,20200604,DE,5377,1717,1316,115,242,44,204,2893,702
6/6/2020,20200606,DC,5945,1916,1456,138,265,57,210,3175,775
7/6/2020,20200607,DE,6180,1928,1466,133,268,61,214,3348,825
8/6/2020,20200608,DC,6353,1974,1500,100,300,100,215,3446,854
9/6/2020,20200609,DE,6682,2054,1540,159,286,69,219,3628,921
10/6/2020,20200610,DC,6992,2113,1583,157,301,72,227,3836,960
11/6/2020,20200611,AZ,7291,2140,1601,169,300,70,230,4052,1016
12/6/2020,20200612,DE,7556,2287,1709,174,326,78,233,4148,1035
13-06-2020,20200613,AL,7837,2263,1684,176,329,71,237,4396,1088
14-06-2020,20200614,AZ,8053,2332,1739,183,338,72,238,4502,1128
15-06-2020,20200615,DE,8292,2468,1869,189,340,70,239,4576,1156
16-06-2020,20200616,DC,8688,2565,1922,216,352,75,245,4804,1226
17-06-2020,20200617,AL,8902,2661,1983,223,380,75,249,4878,1265
18-06-2020,20200618,AZ,9321,2741,2008,249,398,86,264,5147,1333
19-06-2020,20200619,DE,9693,2949,2164,263,443,79,265,5257,1372
20-06-2020,20200620,DC,10020,3005,2163,292,468,82,272,5479,1420
21-06-2020,20200621,DE,10360,3088,2199,315,490,84,278,5669,1484
22-06-2020,20200622,DC,10700,3263,2348,333,499,83,290,5805,1515
23-06-2020,20200623,AZ,11320,3501,2529,341,538,93,302,6096,1592
24-06-2020,20200624,FL,11850,3622,2619,371,545,87,314,6397,1678
25-06-2020,20200625,AZ,12260,3567,2526,376,571,94,317,6807,1739
27-06-2020,20200627,DE,13850,4051,2861,412,645,124,357,7682,1966
28-06-2020,20200628,FL,14100,4150,2941,421,668,120,365,7797,1995
29-06-2020,20200629,DE,14560,4250,3035,420,667,128,376,8042,2116
30-06-2020,20200630,DC,15130,4418,3160,452,690,116,394,8364,2189
1/7/2020,20200701,FL,15370,4461,3173,452,699,137,396,8528,2217
2/7/2020,20200702,FL,15860,4616,3313,464,708,131,402,8805,2273
3/7/2020,20200703,DC,16740,5006,3614,471,774,147,434,9166,2400
